Date,Daily People Talking About This,Weekly People Talking About This,28 days People Talking About This,Daily Page stories,Weekly Page stories,28 days Page stories,Lifetime Total likes,Daily New likes,Daily Unlikes,Daily Friends of Fans,Daily Page engaged users,Weekly Page engaged users,28 days Page engaged users,Daily Total reach,Weekly Total reach,28 days Total reach,Daily Organic reach,Weekly Organic reach,28 days Organic reach,Daily Paid reach,Weekly Paid reach,28 days Paid reach,Daily Viral reach,Weekly Viral reach,28 days Viral reach,Daily Total impressions,Weekly Total impressions,28 days Total impressions,Daily Organic impressions,Weekly Organic impressions,28 days Organic impressions,Daily Paid impressions,Weekly Paid impressions,28 days Paid impressions,Daily Viral impressions,Weekly Viral impressions,28 days Viral impressions,Daily Logged-in page views,Weekly Logged-in page views,Daily Logged-in page views,Weekly Logged-in page views,Daily Reach of page posts,Weekly Reach of page posts,28 days Reach of page posts,Daily Organic reach of page posts,Weekly Organic reach of page posts,28 days Organic reach of page posts,Daily Paid reach of page posts,Weekly Paid reach of page posts,28 days Paid reach of page posts,Daily Viral reach of page posts,Weekly Viral reach of page posts,28 days Viral reach of page posts,Daily Total Impressions of your posts,Weekly Total Impressions of your posts,28 days Total Impressions of your posts,Daily Organic impressions of your posts,Weekly Organic impressions of your posts,28 days Organic impressions of your posts,Daily Paid impressions of your posts,Weekly Paid impressions of your posts,28 days Paid impressions of your posts,Daily Viral impressions of your posts,Weekly Viral impressions of your posts,28 days Viral impressions of your posts,Daily Total Consumers,Weekly Total Consumers,28 days Total Consumers,Daily Page consumptions,Weekly Page consumptions,28 days Page consumptions,Daily Negative feedback,Weekly Negative feedback,28 days Negative feedback,Daily Negative feedback from users,Weekly Negative feedback from users,28 days Negative feedback from users,Daily Total check-ins,Weekly Total check-ins,28 days Total check-ins,Daily Total check-ins,Weekly Total check-ins,28 days Total check-ins,Daily Total check-ins using mobile devices,Weekly Total check-ins using mobile devices,28 days Total check-ins using mobile devices,Daily Total check-ins using mobile devices,Weekly Total check-ins using mobile devices,28 days Total check-ins using mobile devices
3/10/13,1,4,32,1,4,35,141,1,0,0,1,24,80,29,165,501,6,102,151,0,0,0,24,71,378,75,717,4417,21,565,3381,0,0,0,53,132,929,1,20,1,12,6,102,152,6,102,151,0,0,0,0,0,1,21,565,3384,21,565,3381,0,0,0,0,0,3,0,20,65,0,34,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/11/13,1,3,33,1,3,36,142,1,0,39095,22,38,86,107,179,516,95,126,159,0,0,0,15,63,387,392,1002,4788,356,848,3721,0,0,0,30,131,958,6,23,5,15,95,126,160,95,126,159,0,0,0,0,0,1,356,848,3724,356,848,3721,0,0,0,0,0,3,20,35,70,27,59,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/12/13,0,3,33,0,3,36,142,0,0,39497,13,35,87,100,183,524,90,124,161,0,0,0,10,68,393,556,1337,5341,538,1176,4259,0,0,0,13,140,968,5,21,4,13,90,124,162,90,124,161,0,0,0,0,0,1,538,1176,4262,538,1176,4259,0,0,0,0,0,3,12,32,72,12,50,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/13/13,4,6,36,4,6,40,144,2,0,39385,20,43,94,141,215,558,115,140,173,0,0,0,28,85,416,1054,2156,6388,980,1939,5232,0,0,0,57,185,1025,17,32,5,12,116,141,175,115,140,173,0,0,0,1,1,2,981,1940,5236,980,1939,5232,0,0,0,1,1,4,19,40,79,39,83,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/14/13,0,6,36,0,6,40,144,0,0,39619,11,48,94,100,217,563,90,144,176,0,0,0,12,86,419,622,2731,6989,602,2508,5823,0,0,0,14,186,1031,6,37,4,13,90,145,178,90,144,176,0,0,0,0,1,2,602,2509,5827,602,2508,5823,0,0,0,0,1,4,10,45,80,19,102,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/13,0,6,36,0,6,40,144,0,0,40540,2,48,94,34,218,565,26,144,176,0,0,0,9,85,422,85,2796,7057,74,2576,5886,0,0,0,9,182,1036,2,38,2,13,26,145,178,26,144,176,0,0,0,0,1,2,74,2577,5890,74,2576,5886,0,0,0,0,1,4,2,45,80,4,105,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/16/13,0,6,36,0,6,40,144,0,0,31911,0,48,93,5,219,564,3,145,176,0,0,0,2,84,421,24,2808,7066,21,2592,5900,0,0,0,2,178,1031,1,38,1,13,3,146,178,3,145,176,0,0,0,0,1,2,21,2593,5904,21,2592,5900,0,0,0,0,1,4,0,45,79,0,101,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/17/13,1,6,36,1,6,39,145,1,0,40522,1,48,90,15,216,563,5,149,177,0,0,0,10,76,419,48,2781,6393,38,2609,5259,0,0,0,10,135,1010,0,37,0,13,5,150,179,5,149,177,0,0,0,0,1,2,38,2610,5263,38,2609,5259,0,0,0,0,1,4,0,45,76,0,101,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/18/13,2,7,38,2,7,41,147,2,0,40522,2,41,91,20,214,565,4,145,179,0,0,0,16,77,420,72,2461,6237,46,2299,5097,0,0,0,24,129,1016,2,33,2,12,4,146,181,4,145,179,0,0,0,0,1,2,46,2300,5101,46,2299,5097,0,0,0,0,1,4,0,37,75,0,74,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/19/13,1,8,31,1,8,34,147,1,0,40428,2,33,87,16,212,533,3,143,177,0,0,0,13,79,391,63,1968,6089,42,1803,5027,0,0,0,19,135,946,2,30,2,13,3,144,179,3,143,177,0,0,0,0,1,2,42,1804,5031,42,1803,5027,0,0,0,0,1,4,2,29,74,7,69,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
