;PRINCESS ZANDA;"LITTLE; ABNER";BLACK PANTHER/T'CHAL;"STEELE; SIMON/WOLFGA";"FORTUNE; DOMINIC";"ERWIN; CLYTEMNESTRA";IRON MAN/TONY STARK ;IRON MAN IV/JAMES R.;"RAVEN; SABBATH II/EL";CARNIVORE/COUNT ANDR;GHOST;"ZIMMER; ABE";FU MANCHU;"TARR; BLACK JACK";"SMITH; SIR DENIS NAY";SHANG-CHI;STARSHINE II/BRANDY ;"ROM; SPACEKNIGHT";MAN-THING/THEODORE T;"WU; LEIKO";DOCTOR DREDD;"RESTON; CLIVE";"JACKSON; STEVE";MYSTIQUE/RAVEN DARKH;BLOB/FRED J. DUKES;TORPEDO III/BROCK JO;PYRO/ALLERDYCE JOHNN;AVALANCHE/DOMINIC PE;ROGUE /;DESTINY II/IRENE ADL;HYBRID/JAMES JIMMY M;"CLARK; SARAH";"KILLBURN; MACK";"JONES; TAMMY ANNE";"JONES; LORRAINE LORR";"JONES; NELL";"JONES; DANIEL DANNY";"CLARK; JOHN";SUB-MARINER/NAMOR MA;VASHTI;SEAWEED MAN;NOVA/RICHARD RIDER;FIRESTAR/ANGELICA JO;THUNDERBALL/DR. ELIO;NAMORITA/NITA PRENTI;SPEEDBALL/ROBBIE BAL;HULK/DR. ROBERT BRUC;NIGHT THRASHER/DUANE;SPIDER-MAN/PETER PAR;JUSTICE II/VANCE AST
HERCULES [GREEK GOD];0;0;28;0;0;0;79;5;0;1;0;0;0;0;0;1;1;2;0;1;0;0;0;2;6;4;3;2;23;2;0;0;0;0;0;0;0;0;43;3;0;30;18;6;17;18;43;7;29;12
BINARY/CAROL DANVERS;0;1;14;0;0;0;77;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;2;2;2;13;2;0;0;0;0;0;0;0;0;7;0;0;4;11;3;3;3;6;0;10;10
MOCKINGBIRD/DR. BARB;0;0;6;0;0;5;74;19;0;0;0;2;0;0;0;0;1;2;2;0;0;0;0;2;2;1;2;2;6;2;0;0;0;0;0;0;0;0;17;0;0;2;3;0;4;2;11;0;9;2
SUB-MARINER/NAMOR MA;0;0;42;0;0;0;71;5;0;0;0;0;0;0;0;1;2;5;3;0;0;0;0;0;2;2;1;1;6;0;0;0;0;0;0;0;0;0;1;83;2;11;8;3;64;5;105;3;46;7
MANDARIN;0;0;1;0;0;1;65;31;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;2;0;3;2
SPIDER-WOMAN II/JULI;0;0;5;0;0;0;62;25;0;0;0;3;0;0;0;1;0;0;0;1;0;0;0;4;5;0;5;5;13;4;0;0;0;0;0;0;0;0;6;0;0;5;9;8;6;6;12;1;19;4
"SITWELL; JASPER";0;0;4;0;0;0;59;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0
"JONES; RICHARD MILHO";0;0;16;0;0;0;58;2;0;0;0;0;0;0;0;0;15;14;2;0;0;0;0;0;1;1;0;1;3;0;0;0;0;0;0;0;0;0;20;1;0;0;3;0;0;0;173;0;14;3
MADAME MASQUE/GIULIE;0;0;3;0;0;4;57;9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"CABE; BETHANY";0;0;0;0;0;12;54;34;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;3;0;0;0
DAREDEVIL/MATT MURDO;0;0;21;0;0;0;53;5;0;0;0;0;3;0;0;14;1;2;3;1;0;0;1;0;1;6;3;0;9;0;0;0;0;1;1;1;1;0;16;1;0;14;13;1;12;11;38;1;103;9
DR. STRANGE/STEPHEN ;0;0;23;0;0;0;52;2;0;0;0;0;0;0;0;3;2;4;7;0;1;0;2;1;3;4;1;1;12;1;0;1;0;0;0;0;0;1;92;10;0;13;4;4;17;6;154;0;71;2
JOCASTA;0;1;10;0;0;0;50;7;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;2;1
MOONDRAGON/HEATHER D;0;0;21;0;0;0;50;3;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;1;0;0;15;0;0;0;0;0;0;0;0;0;17;1;0;14;9;0;6;5;26;0;13;5
BLACK KNIGHT V/DANE ;0;0;23;0;0;0;50;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;1;1;2;1;15;1;0;0;0;0;0;0;0;0;50;1;0;12;15;9;14;14;23;2;21;8
CRYSTAL [INHUMAN];0;0;28;0;0;0;44;4;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;2;2;1;9;0;0;0;0;0;0;0;0;0;23;0;0;6;9;0;8;8;15;1;11;6
FALCON/SAM WILSON;0;0;18;0;0;0;44;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;6;5;3;3;2;1;0;0;0;0;0;0;0;0;14;0;0;4;8;0;4;2;17;2;22;8
QUASAR III/WENDELL V;0;0;20;0;0;0;43;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;2;5;0;0;13;0;0;0;0;0;0;0;0;0;24;0;0;22;11;1;13;9;30;1;29;6
CAPTAIN MARVEL II/MO;0;0;8;0;0;0;43;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;18;2;0;0;0;0;0;0;0;0;44;0;0;2;7;20;4;2;29;0;30;7
FIRESTAR/ANGELICA JO;0;0;13;0;0;0;42;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;2;4;9;0;0;0;0;0;0;0;0;0;8;0;0;82;0;5;66;62;11;62;24;114
SILVER SURFER/NORRIN;0;0;15;0;0;0;42;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;11;0;0;0;0;0;0;0;0;0;51;2;0;16;10;0;11;6;66;2;34;4
PHARAOH RAMA-TUT;0;0;6;0;0;0;41;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;7;0;0;5;5;6;4;4;13;0;11;1
DR. DOOM/VICTOR VON ;0;0;17;0;0;0;40;16;0;0;0;1;1;2;1;3;0;0;1;2;0;2;0;0;2;0;2;2;22;0;0;0;0;0;0;0;0;0;59;2;0;8;4;12;15;4;37;0;44;0
